F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S   117  1808     1  0  80   0 - 14968 poll_s ?        00:00:00 gnome-settings-
4 S     0  1816     1  0  80   0 -  7100 poll_s ?        00:01:00 upowerd
4 S   118  1875     1  0  80   0 - 13419 poll_s ?        00:00:52 colord
1 S     0  1888     2  0  80   0 -     0 svc_re ?        00:00:00 nfsv4.0-svc
4 S     0  2054  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S     0  2360  1447  0  80   0 -  6650 pipe_w ?        00:00:00 lightdm
0 S   117  2364     1  0  80   0 - 32103 poll_s ?        00:00:51 nm-applet
0 S   117  2372     1  0  80   0 - 29373 poll_s ?        00:00:00 indicator-sound
5 S  7102  2410  2054  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S   117  2411     1  0  80   0 -  2411 poll_s ?        00:00:18 gconfd-2
0 S  7102  2412  2410  0  80   0 -  5996 wait   pts/43   00:00:00 bash
0 S   117  2428     1  0  80   0 -  1971 poll_s ?        00:00:00 geoclue-master
0 S   117  2460     1  0  80   0 - 28700 poll_s ?        00:00:42 ubuntu-geoip-pr
1 S   117  2465     1  0  80   0 - 22097 poll_s ?        00:00:08 pulseaudio
4 S   111  2467     1  0  81   1 -  5333 poll_s ?        00:00:57 rtkit-daemon
0 S   117  2526  2465  0  80   0 -  3528 poll_s ?        00:00:00 gconf-helper
0 S   117  2628     1  0  80   0 - 15902 poll_s ?        00:00:00 indicator-appli
0 S   117  2630     1  0  80   0 - 17325 poll_s ?        00:00:00 indicator-sessi
0 S   117  2632     1  0  80   0 - 20437 poll_s ?        00:00:42 indicator-datet
0 S  7925  2676  1775  0  80   0 - 14766 poll_s pts/0    00:00:00 vim
0 S  7102  2688  2412  0  80   0 - 14769 poll_s pts/43   00:00:00 vi
1 S     0  2773     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:2
1 S     0  2783     2  0  80   0 -     0 worker ?        00:00:00 kworker/2:0
4 S     0  2792  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7966  2829  2792  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7966  2830  2829  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0  2840     1  0  80   0 -  1156 n_tty_ tty1     00:00:00 getty
5 S   120  2896     1  0  80   0 -  2273 poll_s ?        00:05:49 ntpd
4 S     0  2907  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7966  2934  2907  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7966  2935  2934  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0  2937  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  8270  2968  2937  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8270  2969  2968  0  80   0 -  5989 n_tty_ pts/29   00:00:00 bash
4 S     0  3219  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  8083  3246  3219  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8083  3247  3246  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0  3266  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7966  3294  3266  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7966  3295  3294  0  80   0 -  5987 n_tty_ pts/30   00:00:00 bash
4 S     0  3380  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  4299  3416  3380  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  4299  3417  3416  0  80   0 -  6004 n_tty_ pts/15   00:00:00 bash
4 S     0  3465  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  8192  3509  3465  0  80   0 -  7918 poll_s ?        00:00:03 sshd
0 S  8192  3510  3509  0  80   0 -  5976 n_tty_ pts/25   00:00:00 bash
0 S  8190  3596 24389  0  80   0 - 14752 poll_s pts/20   00:00:00 vim
4 S     0  3663  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  4299  3690  3663  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  4299  3691  3690  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0  3702  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  8232  3738  3702  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  8232  3739  3738  0  80   0 -  5996 n_tty_ pts/35   00:00:00 bash
4 S     0  3796  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  4299  3823  3796  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  4299  3824  3823  0  80   0 -  4400 pipe_w ?        00:00:00 bash
1 S     0  3990     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:1
1 S     0  3991     2  0  80   0 -     0 worker ?        00:00:00 kworker/2:2
4 S     0  4051  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  3312  4078  4051  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  3312  4079  4078  0  80   0 -  5994 n_tty_ pts/37   00:00:00 bash
4 S     0  4183  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  4299  4210  4183  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  4299  4211  4210  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
